proportionalf_1.txt,wrench_mx.txt,wrench_fx.txt,integralf_3.txt,wrench_fy.txt,integralf_2.txt,integralf_1.txt,wrench_fz.txt,proportionalf_4.txt,wrench_mz.txt,proportionalf_3.txt,integralf_5.txt,integralf_4.txt,wrench_my.txt,proportionalf_5.txt,proportionalf_2.txt,posd1.txt,error_vel_4.txt,accd1.txt,accd5.txt,vela4.txt,error_vel_1.txt,trq1.txt,error_pos_1.txt,posa3.txt,error_vel_2.txt,error_pos_3.txt,error_pos_2.txt,veld2.txt,error_pos_4.txt,posd5.txt,posa2.txt,error_vel_3.txt,accd3.txt,error_vel_5.txt,trq2.txt,veld1.txt,posd3.txt,accd4.txt,vela5.txt,trq5.txt,posd2.txt,accd2.txt,posa1.txt,veld4.txt,veld5.txt,trq3.txt,posd4.txt,error_pos_5.txt,vela1.txt,posa5.txt,vela3.txt,posa4.txt,vela2.txt,veld3.txt,trq4.txt
,,,,,,,,,,,,,,,,0.424394,0.0539601,0.775034,0.339624,0.283186,0.0852969,1.75071,0.083179,-0.0342748,0.0674001,-0.0921431,0.0296923,0.0674001,0.0775479,0.187909,0.00425927,-0.067152,-0.208096,0.370846,1.98065,0.842501,-0.126418,0.308623,-0.0,0.017395,0.0339515,0.0620027,0.341215,0.337146,0.370846,-3.5912,0.170933,0.184325,0.757204,0.00358407,-0.169646,0.0933849,-0.0,-0.236798,0.575739
,,,,,,,,,,,,,,,,0.432858,0.0349097,0.768594,0.336796,0.30531,0.0883162,1.7089,0.0839497,-0.0360184,0.0673463,-0.0927779,0.0303694,0.0680176,0.0779259,0.191634,0.00425927,-0.0566578,-0.206328,0.374228,1.99111,0.85022,-0.128796,0.306053,-0.0,0.076538,0.0346286,0.0614875,0.348908,0.340219,0.374228,-3.62135,0.17432,0.18805,0.761903,0.00358407,-0.182212,0.0963938,0.00067128,-0.23887,0.731442
,,,,,,,,,,,,,,,,0.441398,0.0276326,0.762019,0.333909,0.315634,0.087914,1.77161,0.0849686,-0.037919,0.0686298,-0.0932762,0.0310526,0.0686298,0.0780469,0.195393,0.00425927,-0.0576649,-0.204524,0.377582,2.03814,0.857873,-0.131195,0.303428,-0.0,0.073059,0.0353119,0.0609615,0.35643,0.343267,0.377582,-3.5711,0.177737,0.191809,0.769959,0.00358407,-0.18326,0.0996903,-0.0,-0.240924,0.720579
,,,,,,,,,,,,,,,,0.450015,0.0232789,0.75531,0.330963,0.323009,0.0854315,1.80297,0.0857112,-0.0399296,0.0685655,-0.093685,0.0317319,0.0692368,0.0782646,0.199186,0.00426934,-0.0565594,-0.202683,0.380906,2.04337,0.865459,-0.133615,0.300751,-0.0,0.052185,0.0360012,0.0604248,0.364304,0.346288,0.380906,-3.5376,0.181185,0.195579,0.780028,0.00360619,-0.186401,0.10292,0.00067128,-0.242961,0.528666
,,,,,,,,,,,,,,,,0.458707,0.0218481,0.74847,0.327959,0.327434,0.0855664,1.75071,0.0864084,-0.0420659,0.0698383,-0.0939884,0.0324272,0.0698383,0.0784239,0.203011,0.00426934,-0.0428689,-0.200807,0.382726,2.04859,0.872978,-0.136054,0.298021,0.00147493,0.076538,0.0366966,0.0598776,0.372299,0.349282,0.384201,-3.5778,0.184663,0.199405,0.787412,0.00360619,-0.202109,0.106239,-0.0,-0.244978,0.655401
,,,,,,,,,,,,,,,,0.467474,0.0189147,0.741499,0.324899,0.333333,0.0829472,1.81342,0.0871,-0.0441551,0.0704343,-0.0943591,0.0331185,0.0704343,0.0784802,0.206869,0.00427941,-0.0333482,-0.198896,0.387465,2.12698,0.880428,-0.138514,0.295239,-0.0,0.059143,0.037398,0.0593199,0.380374,0.352248,0.387465,-3.55435,0.18817,0.203263,0.797481,0.00360619,-0.213628,0.10969,-0.0,-0.246977,0.738684
,,,,,,,,,,,,,,,,0.476316,0.0174282,0.7344,0.321782,0.337758,0.083614,1.77684,0.0877953,-0.0464327,0.0703534,-0.0945611,0.0338258,0.0710246,0.0788094,0.21076,0.00427941,-0.0321859,-0.196949,0.390699,2.13743,0.887808,-0.140994,0.292406,-0.0,0.020874,0.0381053,0.058752,0.38852,0.355186,0.390699,-3.55435,0.191708,0.207154,0.804194,0.00360619,-0.21677,0.112898,0.00067128,-0.248956,0.564876
,,,,,,,,,,,,,,,,0.48523,0.0203379,0.727175,0.318609,0.337758,0.0835379,1.85,0.0880202,-0.0489303,0.0716093,-0.0945629,0.0345289,0.0716093,0.0786148,0.214683,0.00428948,-0.0247207,-0.194969,0.393901,2.15834,0.895116,-0.143493,0.289522,-0.0,0.073059,0.0388184,0.058174,0.39721,0.358096,0.393901,-3.551,0.195274,0.211077,0.811578,0.00360619,-0.226195,0.116659,-0.0,-0.250915,0.630054
,,,,,,,,,,,,,,,,0.494218,0.0187937,0.719824,0.315382,0.342183,0.0807038,1.90226,0.0886905,-0.0513965,0.0715168,-0.0946156,0.0352479,0.0721881,0.0787146,0.218638,0.00428948,-0.01933,-0.192954,0.397071,2.15834,0.902351,-0.146012,0.286589,-0.0,0.062622,0.0395374,0.0575859,0.405527,0.360977,0.397071,-3.6448,0.198869,0.215032,0.821647,0.00360619,-0.233525,0.120155,0.00067128,-0.252855,0.749547
,,,,,,,,,,,,,,,,0.503277,0.0142701,0.712351,0.3121,0.349557,0.0831658,1.81865,0.0892414,-0.0538626,0.072761,-0.0946876,0.0359727,0.072761,0.0788873,0.222625,0.00428948,-0.0128718,-0.190906,0.400208,2.18447,0.909512,-0.14855,0.283606,-0.0,0.038269,0.0402622,0.0569881,0.414036,0.363828,0.400208,-3.55435,0.202494,0.219018,0.826346,0.00360619,-0.241903,0.123606,-0.0,-0.254774,0.61557
