proportionalf_1.txt,proportionalf_2.txt,proportionalf_3.txt,wrench_fy.txt,integralf_4.txt,wrench_my.txt,integralf_5.txt,wrench_mz.txt,integralf_1.txt,integralf_2.txt,integralf_3.txt,proportionalf_5.txt,wrench_fz.txt,wrench_fx.txt,proportionalf_4.txt,wrench_mx.txt,accd3.txt,trq2.txt,vela5.txt,trq4.txt,trq3.txt,accd2.txt,posd5.txt,vela1.txt,trq5.txt,vela2.txt,posa4.txt,vela4.txt,veld4.txt,error_vel_4.txt,posa1.txt,posd2.txt,veld5.txt,error_vel_5.txt,posa2.txt,accd4.txt,vela3.txt,error_pos_4.txt,veld3.txt,trq1.txt,veld2.txt,posd4.txt,accd5.txt,error_pos_2.txt,error_pos_3.txt,error_pos_5.txt,posd3.txt,posa3.txt,error_vel_1.txt,accd1.txt,error_vel_2.txt,veld1.txt,error_pos_1.txt,posa5.txt,posd1.txt,error_vel_3.txt
,,,,,,,,,,,,,,,,-0.632359,0.752544,0.00147493,0.083283,-2.0636,0.370525,0.00385209,-0.0,-0.400085,0.0369204,0.00404867,0.0058997,0.0956254,0.0897257,1.00692e-05,0.00877608,0.0285542,0.0270792,0.00320201,0.494033,0.0,0.00765277,-0.1224,0.005226,0.071719,0.0117014,0.139889,0.00557407,-0.00227001,0.00332112,-0.0149935,-0.0127235,0.0239063,0.123508,0.0347986,0.0239063,0.00291529,0.000530973,0.00292536,-0.1224
,,,,,,,,,,,,,,,,-0.644713,0.893646,0.00147493,0.112251,-2.0904,0.377764,0.00414467,-0.0,-0.389648,0.0409481,0.00418142,0.00884956,0.100614,0.0917646,1.00692e-05,0.00951192,0.0299668,0.0284918,0.00364505,0.503685,0.0,0.00850114,-0.128785,0.031356,0.0754606,0.0126826,0.142621,0.00586687,-0.00351013,0.00359158,-0.0162493,-0.0127392,0.0251535,0.125921,0.0345125,0.0251535,0.00316057,0.000553097,0.00317064,-0.128785
,,,,,,,,,,,,,,,,-0.656772,1.22288,-0.0,0.137598,-2.1306,0.38483,0.00445152,-0.0,-0.389648,0.0389343,0.00440265,0.0132743,0.105698,0.092424,1.00692e-05,0.0102855,0.0314063,0.0314063,0.00390685,0.513106,-0.0010472,0.00931139,-0.135293,0.05226,0.0792737,0.013714,0.145287,0.00637868,-0.00483042,0.00389842,-0.0175696,-0.0127392,0.0264246,0.128277,0.0403395,0.0264246,0.00341844,0.000553097,0.00342851,-0.134246
,,,,,,,,,,,,,,,,-0.668537,1.30127,-0.0,0.14484,-2.1574,0.391724,0.00477289,-0.0,-0.38269,0.0268512,0.00475664,0.0221239,0.110876,0.0887516,2.01384e-05,0.0110976,0.0328723,0.0328723,0.00410824,0.522298,0.0,0.0100402,-0.14192,0.083616,0.0831566,0.0147968,0.147889,0.00698939,-0.00621638,0.00419767,-0.0189555,-0.0127392,0.0277189,0.130575,0.0563054,0.0277189,0.00367907,0.000575221,0.00369921,-0.14192
,,,,,,,,,,,,,,,,-0.680012,1.48941,0.00147493,0.162945,-2.21435,0.398447,0.00510905,0.00067128,-0.379211,0.0201384,0.00537611,0.039823,0.116144,0.0763205,2.01384e-05,0.0119489,0.0343639,0.032889,0.00422907,0.531262,0.0,0.0105557,-0.148663,0.114972,0.0871076,0.0159319,0.150426,0.00771982,-0.0076692,0.00453383,-0.0204084,-0.0127392,0.0283646,0.132816,0.0669692,0.0290359,0.00396283,0.000575221,0.00398296,-0.148663
,,,,,,,,,,,,,,,,-0.691196,1.64619,-0.0,0.195534,-2.26125,0.405,0.00546025,-0.0,-0.368774,0.012083,0.00623894,0.0678466,0.1215,0.0536534,3.02076e-05,0.01284,0.0358806,0.0358806,0.00424921,0.54,0.0,0.0108811,-0.155519,0.151554,0.091125,0.01712,0.152898,0.00859079,-0.00917431,0.0048629,-0.0219292,-0.0127549,0.030375,0.135,0.079042,0.030375,0.00424979,0.000597345,0.00428,-0.155519
,,,,,,,,,,,,,,,,-0.702092,1.69322,0.00147493,0.213639,-2.30145,0.411385,0.00582674,0.00067128,-0.358337,0.00067128,0.00719026,0.0855457,0.126943,0.041397,4.02768e-05,0.0137716,0.0374217,0.0359467,0.00424921,0.548513,-0.0010472,0.0111719,-0.162486,0.193362,0.0952071,0.0183621,0.155308,0.0095224,-0.0107642,0.0052294,-0.0235191,-0.0127549,0.0310644,0.137128,0.0945358,0.0317357,0.00455026,0.000597345,0.00459054,-0.161439
,,,,,,,,,,,,,,,,-0.712702,1.71413,-0.0,0.231744,-2.345,0.417601,0.00620876,0.00067128,-0.351379,-0.0,0.00803097,0.0943953,0.13247,0.0380742,5.0346e-05,0.0147444,0.0389865,0.0389865,0.00424921,0.556802,0.0,0.0116282,-0.16956,0.20904,0.0993521,0.0196591,0.157653,0.0104951,-0.0124087,0.00558929,-0.0251792,-0.0127706,0.0324461,0.1392,0.0993521,0.0331174,0.00486444,0.000619469,0.00491478,-0.16956
,,,,,,,,,,,,,,,,-0.723028,1.74026,0.00147493,0.257091,-2.40195,0.423652,0.00660655,0.00067128,-0.3479,-0.0,0.00882743,0.0855457,0.138078,0.0525323,6.04152e-05,0.0157589,0.0405745,0.0390996,0.00424921,0.564869,-0.0010472,0.0121844,-0.176739,0.250848,0.103559,0.0210118,0.159936,0.0115096,-0.0141244,0.00598708,-0.0269107,-0.0127863,0.0338482,0.141217,0.103559,0.0345195,0.00519254,0.000619469,0.00525295,-0.175692
,,,,,,,,,,,,,,,,-0.733071,1.75071,-0.0,0.257091,-2.4321,0.429536,0.00702033,0.00067128,-0.340942,-0.0,0.00980088,0.0811209,0.143766,0.0626452,8.05537e-05,0.0168157,0.042185,0.042185,0.00424921,0.572715,-0.0010472,0.0126201,-0.18402,0.266526,0.107825,0.022421,0.162156,0.0125665,-0.0158967,0.00637873,-0.0287144,-0.0128177,0.0352703,0.143179,0.107825,0.0359415,0.00552469,0.000641593,0.00560524,-0.182972
