wrench_fz.txt,integralf_3.txt,wrench_my.txt,integralf_2.txt,wrench_mx.txt,integralf_4.txt,proportionalf_2.txt,wrench_fx.txt,proportionalf_1.txt,proportionalf_5.txt,integralf_1.txt,wrench_fy.txt,proportionalf_3.txt,integralf_5.txt,wrench_mz.txt,proportionalf_4.txt,accd3.txt,vela1.txt,accd5.txt,posd5.txt,posa3.txt,posd2.txt,vela2.txt,trq2.txt,error_vel_5.txt,trq5.txt,veld5.txt,posa5.txt,error_vel_3.txt,trq3.txt,posd4.txt,error_pos_2.txt,posd1.txt,trq1.txt,veld2.txt,posa1.txt,posa4.txt,error_pos_5.txt,veld1.txt,accd1.txt,vela4.txt,veld4.txt,error_pos_4.txt,error_vel_2.txt,error_pos_3.txt,vela3.txt,vela5.txt,posd3.txt,error_pos_1.txt,trq4.txt,posa2.txt,error_vel_1.txt,accd4.txt,error_vel_4.txt,accd2.txt,veld3.txt
,,,,,,,,,,,,,,,,-0.227868,0.19937,0.0194499,0.0356091,-0.327307,0.482653,0.834402,2.63913,0.0479751,0.031311,0.0479751,0.00376106,0.0175288,-3.84915,0.258563,0.108733,0.160884,1.0452,0.650669,0.119058,0.172743,0.031848,0.21689,0.0879305,0.386431,0.346675,0.08582,-0.183733,-0.091808,-0.581195,-0.0,-0.419115,0.0418262,0.604707,0.37392,0.0175194,0.13963,-0.0397555,0.263792,-0.563666
,,,,,,,,,,,,,,,,-0.22246,0.19937,0.0189891,0.0360898,-0.332915,0.489173,0.83373,2.52416,0.0481673,-0.013916,0.0481673,0.00376106,0.0163244,-3.8257,0.262037,0.107208,0.163058,0.94068,0.653276,0.120941,0.17646,0.0323287,0.217759,0.0858473,0.40413,0.348055,0.0855768,-0.180455,-0.0918482,-0.582242,-0.0,-0.424763,0.0421165,0.655401,0.381965,0.0183883,0.136309,-0.0560749,0.257542,-0.565917
,,,,,,,,,,,,,,,,-0.217017,0.200042,0.0185253,0.0365724,-0.338585,0.495719,0.838429,2.49803,0.0483548,-0.017395,0.0483548,0.00376106,0.014127,-3.819,0.265524,0.105315,0.16524,1.01384,0.65582,0.122965,0.180221,0.0328114,0.218607,0.0837508,0.40413,0.349401,0.0853031,-0.18261,-0.0918478,-0.582242,-0.0,-0.430433,0.0422744,0.449004,0.390403,0.018565,0.132966,-0.0547285,0.251252,-0.568115
,,,,,,,,,,,,,,,,-0.21154,0.19937,0.0180587,0.0370569,-0.344319,0.502289,0.847827,2.48758,0.0485378,0.031311,0.0485378,0.00376106,0.0140785,-3.8793,0.269025,0.10374,0.16743,0.972036,0.658301,0.124959,0.184248,0.0332958,0.219434,0.0816412,0.384956,0.350714,0.0847772,-0.189527,-0.0918063,-0.584336,-0.0,-0.436125,0.0424709,0.582981,0.398549,0.0200632,0.129602,-0.0342416,0.244924,-0.570258
,,,,,,,,,,,,,,,,-0.206031,0.201384,0.0175893,0.0375432,-0.350036,0.508885,0.853869,2.3308,0.0472411,-0.0,0.048716,0.00378319,0.00989626,-3.86925,0.272538,0.101615,0.169628,0.972036,0.660718,0.126902,0.188319,0.03376,0.220239,0.079519,0.402655,0.351993,0.0842199,-0.193151,-0.0918017,-0.582242,0.00147493,-0.441838,0.0427259,0.604707,0.407269,0.0188552,0.126218,-0.0506616,0.238557,-0.572346
,,,,,,,,,,,,,,,,-0.200489,0.204069,0.0171171,0.0380312,-0.356272,0.515504,0.858568,2.17924,0.0488895,-0.020874,0.0488895,0.00378319,0.00681644,-3.9262,0.276065,0.0991418,0.171835,1.0452,0.663072,0.129097,0.192832,0.034248,0.221024,0.0773845,0.408555,0.353238,0.0832328,-0.195496,-0.0912993,-0.581195,-0.0,-0.447572,0.0427372,0.430899,0.416362,0.0169546,0.122815,-0.0553162,0.232154,-0.574378
,,,,,,,,,,,,,,,,-0.194917,0.201384,0.0166423,0.0385209,-0.362288,0.522146,0.85991,2.27331,0.0490583,-0.010437,0.0490583,0.00378319,0.00798097,-3.88935,0.279603,0.0970641,0.174049,0.961584,0.665361,0.131131,0.196947,0.0347377,0.221787,0.0752381,0.412979,0.354449,0.0826563,-0.194549,-0.0910369,-0.584336,-0.0,-0.453325,0.0429173,0.601086,0.425082,0.0204029,0.119392,-0.0585299,0.225714,-0.576355
,,,,,,,,,,,,,,,,-0.189315,0.206083,0.016165,0.0390123,-0.368053,0.528811,0.862595,2.27854,0.0492224,0.031311,0.0492224,0.00378319,0.0102486,-3.92955,0.283154,0.0949183,0.17627,1.07656,0.667586,0.133256,0.201106,0.0352292,0.222529,0.07308,0.411504,0.355626,0.0820474,-0.19501,-0.0910453,-0.588525,-0.0,-0.459099,0.0430143,0.445383,0.433892,0.0164455,0.115951,-0.0558782,0.21924,-0.578276
,,,,,,,,,,,,,,,,-0.183683,0.206083,0.0156851,0.0395054,-0.373834,0.535497,0.868637,2.04337,0.0493816,-0.027832,0.0493816,0.00378319,0.00419478,-3.8994,0.286716,0.0930563,0.178499,0.961584,0.669746,0.13525,0.205354,0.0357222,0.223249,0.0709107,0.426254,0.356768,0.0813616,-0.198891,-0.0910569,-0.584336,-0.0,-0.464891,0.0432495,0.456246,0.442441,0.0171655,0.112493,-0.0694853,0.212732,-0.580141
,,,,,,,,,,,,,,,,-0.178023,0.208097,0.0152029,0.04,-0.379709,0.542205,0.868637,1.99633,0.0495361,0.041748,0.0495361,0.00378319,0.00343342,-3.94295,0.290289,0.0912759,0.180735,1.00862,0.67184,0.137334,0.209823,0.0362168,0.223947,0.0687305,0.438053,0.357876,0.0804658,-0.196797,-0.0909926,-0.585383,-0.0,-0.470701,0.0434012,0.554013,0.450929,0.0158498,0.109017,-0.0801771,0.206191,-0.58195
