posa4.txt,posd5.txt,vela5.txt,posd2.txt,trq5.txt,trq1.txt,trq4.txt,vela4.txt,vela3.txt,posa1.txt,posd4.txt,trq2.txt,trq3.txt,vela1.txt,posd1.txt,posa3.txt,posa2.txt,vela2.txt,posd3.txt,posa5.txt
0.0243363,0.00601121,0.00147493,0.0541519,-0.340942,3.20876,0.604707,0.20944,-0.0565487,0.0869073,0.0974735,3.376,-2.5996,0.724983,0.162456,-0.015331,0.00507488,0.0107405,-0.0433364,0.000597345
0.0268142,0.00642795,-0.0,0.05792,-0.340942,1.34308,0.65178,0.231563,-0.0628319,0.0944894,0.104256,3.57458,-2.7001,0.755862,0.17376,-0.0159122,0.0051353,0.0067128,-0.0463508,0.000597345
0.0293363,0.00686062,0.00147493,0.061832,-0.327026,0.851838,0.829209,0.252212,-0.0544543,0.101941,0.111298,3.78362,-2.79055,0.74982,0.185496,-0.0164934,0.00517557,0.00469896,-0.0494804,0.000619469
0.0321903,0.00730923,-0.0,0.0658883,-0.316589,1.01907,0.876282,0.274336,-0.0607375,0.109342,0.118599,3.97176,-2.91115,0.73908,0.197665,-0.0170746,0.00521585,0.00402768,-0.0527253,0.000641593
0.0353982,0.00777381,0.00147493,0.0700889,-0.316589,1.13404,0.709716,0.292035,-0.0513127,0.117196,0.12616,4.12854,-3.07865,0.735052,0.210267,-0.01764,0.00528633,0.00402768,-0.0560857,0.000641593
0.0386947,0.00825434,-0.0,0.0744338,-0.316589,1.23334,0.753168,0.318584,-0.0534071,0.124234,0.133981,4.29055,-3.09205,0.733038,0.223301,-0.0181584,0.00538703,0.00872665,-0.0595616,0.000641593
0.0424115,0.00875082,0.00147493,0.0789228,-0.306152,1.2856,0.916113,0.355457,-0.0481711,0.131796,0.142061,4.35848,-3.30645,0.735052,0.236768,-0.0185825,0.00557834,0.0140969,-0.0631527,0.000663717
0.0459956,0.0092632,-0.0,0.0835557,-0.288757,1.34308,0.792999,0.368732,-0.0481711,0.139036,0.1504,4.14422,-3.3165,0.733038,0.250667,-0.019148,0.00594083,0.0281938,-0.0668589,0.000663717
0.0500221,0.00979145,0.00147493,0.088332,-0.281799,1.35353,0.814725,0.390855,-0.0596903,0.146285,0.158998,4.21216,-3.30645,0.735723,0.264996,-0.0197292,0.00632346,0.0389343,-0.0706799,0.000685841
0.0543805,0.0103355,-0.0,0.0932512,-0.281799,1.43192,0.952323,0.424779,-0.0628319,0.153515,0.167852,4.10241,-3.40025,0.73908,0.279754,-0.0204361,0.00684706,0.0483322,-0.0746152,0.000685841
