proportionalf_3.txt,integralf_3.txt,proportionalf_1.txt,integralf_1.txt,wrench_fz.txt,integralf_2.txt,integralf_4.txt,wrench_fx.txt,proportionalf_5.txt,integralf_5.txt,proportionalf_2.txt,wrench_fy.txt,proportionalf_4.txt,wrench_my.txt,wrench_mz.txt,wrench_mx.txt,posa1.txt,error_vel_5.txt,trq1.txt,accd3.txt,error_vel_2.txt,veld4.txt,vela4.txt,posd4.txt,error_vel_1.txt,vela5.txt,veld1.txt,error_pos_2.txt,vela2.txt,accd4.txt,error_pos_1.txt,posd2.txt,accd5.txt,accd2.txt,trq3.txt,error_pos_4.txt,posa2.txt,posa5.txt,accd1.txt,posa3.txt,trq5.txt,vela3.txt,posd5.txt,veld2.txt,veld5.txt,error_pos_3.txt,posd1.txt,posa4.txt,posd3.txt,trq2.txt,vela1.txt,error_pos_5.txt,trq4.txt,veld3.txt,error_vel_4.txt,error_vel_3.txt
,,,,,,,,,,,,,,,,2.01384e-05,0.240364,0.005226,-0.632363,0.0468816,0.0956254,0.0634218,0.0117014,0.0232351,-0.0,0.0239063,0.0062185,0.0248374,0.494033,0.00290522,0.00877608,1.23417,0.370525,-2.0569,0.00391383,0.00255758,0.000619469,0.123508,-0.0124878,-0.497497,0.0,0.0297708,0.071719,0.240364,-0.00249001,0.00292536,0.00778761,-0.0149778,0.789126,0.00067128,0.0291513,0.224502,-0.1224,0.0322035,-0.1224
,,,,,,,,,,,,,,,,2.01384e-05,0.251352,0.041808,-0.644717,0.0371976,0.100614,0.0442478,0.0126826,0.0251535,0.00147493,0.0251535,0.00657171,0.038263,0.503685,0.0031505,0.00951192,1.25828,0.377764,-2.1038,0.00456309,0.00294021,0.000619469,0.125921,-0.0124878,-0.473144,0.0,0.0322365,0.0754606,0.252827,-0.00374584,0.00317064,0.00811947,-0.0162337,0.773448,-0.0,0.0316171,0.220881,-0.128786,0.0563664,-0.128786
,,,,,,,,,,,,,,,,2.01384e-05,0.264053,0.057486,-0.656776,0.0383256,0.105698,0.0176991,0.013714,0.0264246,0.00147493,0.0264246,0.00691235,0.0409481,0.513106,0.00340837,0.0102855,1.28182,0.38483,-2.14065,0.00546183,0.00337318,0.000641593,0.128277,-0.0125035,-0.462707,0.0,0.0348281,0.0792737,0.265528,-0.00505044,0.00342851,0.00825221,-0.017554,0.778674,-0.0,0.0341865,0.220881,-0.135294,0.0879992,-0.135294
,,,,,,,,,,,,,,,,3.02076e-05,0.276987,0.083616,-0.668542,0.0462362,0.110876,0.0103245,0.0147968,0.0270476,0.00147493,0.0277189,0.00740223,0.0369204,0.522298,0.003669,0.0110976,1.30478,0.391724,-2.1708,0.00641188,0.0036954,0.000663717,0.130575,-0.0125035,-0.455749,-0.0010472,0.0375479,0.0831566,0.278462,-0.00643641,0.00369921,0.00838496,-0.0189399,1.06088,0.00067128,0.0368842,0.220881,-0.141921,0.100551,-0.140873
,,,,,,,,,,,,,,,,3.02076e-05,0.291622,0.120198,-0.680016,0.0629415,0.116144,0.0147493,0.0159319,0.0290359,-0.0,0.0290359,0.00804204,0.0241661,0.531262,0.00395276,0.0119489,1.32717,0.398447,-2.2043,0.00739203,0.00390685,0.000685841,0.132816,-0.0125035,-0.445312,0.0,0.0403981,0.0871076,0.291622,-0.00788924,0.00398296,0.00853982,-0.0203928,1.36399,-0.0,0.0397123,0.220881,-0.148664,0.101394,-0.148664
,,,,,,,,,,,,,,,,4.02768e-05,0.303528,0.162006,-0.6912,0.0723291,0.1215,0.0235988,0.01712,0.0297037,0.00147493,0.030375,0.00874183,0.0187959,0.54,0.00423972,0.01284,1.349,0.405,-2.2512,0.00829257,0.00409817,0.000685841,0.135,-0.0125035,-0.434875,0.0,0.043381,0.091125,0.305003,-0.00941006,0.00428,0.00882743,-0.0219136,1.46328,0.00067128,0.0426952,0.228123,-0.15552,0.0979012,-0.15552
,,,,,,,,,,,,,,,,5.0346e-05,0.317125,0.193362,-0.702096,0.0804389,0.126943,0.0353982,0.0183621,0.0310644,0.00147493,0.0317357,0.00954254,0.0147682,0.548513,0.00454019,0.0137716,1.37026,0.411385,-2.28805,0.00913648,0.00422907,0.000707965,0.137128,-0.0125192,-0.427917,-0.0010472,0.0464989,0.0952071,0.3186,-0.0109843,0.00459054,0.00922566,-0.0235035,1.62529,0.00067128,0.0457909,0.21726,-0.162487,0.0915445,-0.16144
,,,,,,,,,,,,,,,,6.04152e-05,0.332406,0.219492,-0.712706,0.0946532,0.13247,0.039823,0.0196591,0.0324461,-0.0,0.0331174,0.0104951,0.00469896,0.556802,0.00485437,0.0147444,1.39097,0.417601,-2.36175,0.0100352,0.00424921,0.000707965,0.1392,-0.0125192,-0.420959,0.0,0.0497537,0.0993521,0.332406,-0.0126444,0.00491478,0.00962389,-0.0251637,1.75594,0.00067128,0.0490458,0.206397,-0.169561,0.0926465,-0.169561
,,,,,,,,,,,,,,,,7.04845e-05,0.344942,0.240396,-0.723032,0.103559,0.138078,0.0368732,0.0210118,0.0338482,0.00147493,0.0345195,0.0115096,-0.0,0.564869,0.00518247,0.0157589,1.41112,0.423652,-2.3919,0.0110561,0.00424921,0.000730088,0.141217,-0.012535,-0.410522,-0.0010472,0.0531477,0.103559,0.346417,-0.0143602,0.00525295,0.00995575,-0.0268951,1.8082,0.00067128,0.0524176,0.202776,-0.17674,0.101205,-0.175693
,,,,,,,,,,,,,,,,8.05537e-05,0.360627,0.282204,-0.733075,0.107825,0.143766,0.0265487,0.022421,0.0352703,-0.0,0.0359415,0.0125665,-0.0,0.572715,0.00552469,0.0168157,1.43072,0.429536,-2.43545,0.012244,0.00424921,0.000752212,0.143179,-0.012535,-0.400085,0.0,0.0566828,0.107825,0.360627,-0.0161639,0.00560524,0.010177,-0.0286988,1.80297,0.00067128,0.0559305,0.235365,-0.184021,0.117217,-0.184021
