wrench_mz.txt,wrench_fx.txt,wrench_fy.txt,proportionalf_2.txt,integralf_2.txt,proportionalf_5.txt,wrench_fz.txt,integralf_4.txt,wrench_my.txt,integralf_1.txt,proportionalf_3.txt,wrench_mx.txt,proportionalf_1.txt,integralf_3.txt,integralf_5.txt,proportionalf_4.txt,accd5.txt,veld3.txt,vela3.txt,error_vel_2.txt,posd1.txt,veld5.txt,posd2.txt,trq2.txt,vela2.txt,error_pos_3.txt,posa4.txt,accd4.txt,posa1.txt,posd3.txt,trq3.txt,trq5.txt,posd4.txt,posa3.txt,accd2.txt,vela5.txt,error_pos_2.txt,trq4.txt,vela1.txt,error_vel_4.txt,accd1.txt,accd3.txt,veld2.txt,vela4.txt,error_vel_3.txt,posa5.txt,error_pos_1.txt,error_pos_5.txt,trq1.txt,error_vel_5.txt,posd5.txt,veld4.txt,veld1.txt,error_vel_1.txt,posa2.txt,error_pos_4.txt,estimated_trqs_4.txt,estimated_trqs_5.txt,estimated_trqs_2.txt,estimated_trqs_3.txt,estimated_trqs_1.txt
,,,,,,,,,,,,,,,,-0.210937,-0.60691,-0.57177,-0.0992148,0.271065,2.33357,0.813196,0.480792,0.799495,-0.102354,0.425111,-0.0336817,0.227353,-0.70477,-4.7905,0.236572,0.433704,-0.602416,-0.0631531,0.278761,0.018967,0.057936,0.240318,-0.0970186,-0.021051,0.0547327,0.70028,0.470501,-0.0351397,0.0813496,0.0437127,2.63018,0.987714,2.05481,2.71152,0.373483,0.233427,-0.00689167,0.794229,0.00859388,-0.321255,0.00107041,-2.67861,-2.52432,-0.0410956
,,,,,,,,,,,,,,,,-0.234202,-0.606332,-0.57177,-0.0965249,0.273398,2.33134,0.820195,0.428532,0.796139,-0.102734,0.429911,-0.0374062,0.22983,-0.710836,-4.7771,0.177429,0.437438,-0.608102,-0.0701367,0.275811,0.0178508,0.083283,0.240318,-0.0973741,-0.0233789,0.0607852,0.699614,0.470501,-0.0345621,0.0842035,0.0435688,2.65065,1.07133,2.05553,2.73485,0.373127,0.233205,-0.00711382,0.802345,0.00752608,-0.480276,0.00701599,-3.16352,-2.66023,-0.145568
,,,,,,,,,,,,,,,,-0.257431,-0.605694,-0.568628,-0.0905483,0.275729,2.32888,0.827188,0.564408,0.789426,-0.102982,0.434513,-0.0411252,0.232156,-0.716896,-4.8508,0.045227,0.441167,-0.613914,-0.0771098,0.29351,0.016949,0.10863,0.239647,-0.093342,-0.0257033,0.0668285,0.698878,0.466077,-0.0370656,0.0871681,0.0435737,2.67098,1.03475,2.03537,2.75815,0.372735,0.232959,-0.00668796,0.810239,0.00665365,-0.102224,0.0016452,-2.78727,-2.13666,-0.0642103
,,,,,,,,,,,,,,,,-0.280622,-0.604995,-0.559203,-0.0799425,0.278058,2.32619,0.834173,0.543504,0.778014,-0.103616,0.439314,-0.044838,0.234653,-0.72295,-4.94125,0.017395,0.444892,-0.619334,-0.0840713,0.292035,0.0164927,0.047073,0.241661,-0.105571,-0.0280238,0.0728617,0.698072,0.477876,-0.0457919,0.0900885,0.0434048,2.69134,1.12359,2.03416,2.78143,0.372305,0.232691,-0.00897044,0.81768,0.00557799,-0.76487,0.00429408,-3.68281,-3.05855,-0.177631
,,,,,,,,,,,,,,,,-0.303771,-0.604237,-0.559203,-0.0747764,0.280383,2.32327,0.841149,0.632346,0.771973,-0.10407,0.443938,-0.048544,0.236959,-0.728996,-4.88095,0.093933,0.448613,-0.624926,-0.0910201,0.29646,0.0156352,0.137598,0.240318,-0.0927638,-0.03034,0.0788841,0.697196,0.464602,-0.0450332,0.0931416,0.0434244,2.71153,0.987714,2.02681,2.80467,0.371838,0.232399,-0.0079197,0.825514,0.00467485,-0.854137,0.00642162,-4.51961,-3.32526,-0.536221
,,,,,,,,,,,,,,,,-0.326873,-0.603418,-0.560251,-0.0616244,0.282705,2.32012,0.848116,0.721188,0.757876,-0.104501,0.448518,-0.0522427,0.239395,-0.735034,-4.8977,0.201782,0.452329,-0.630533,-0.0979552,0.309734,0.0150406,0.047073,0.236291,-0.0903179,-0.0326517,0.0848945,0.696251,0.461652,-0.0431671,0.0962611,0.0433101,2.73163,1.10791,2.01038,2.82789,0.371334,0.232084,-0.00420698,0.833076,0.00381109,-1.16428,0.00905982,-4.82683,-3.80048,0.537014
,,,,,,,,,,,,,,,,-0.349927,-0.602539,-0.565487,-0.0485417,0.285025,2.31673,0.855074,0.81003,0.743779,-0.104844,0.453031,-0.0559336,0.241882,-0.741064,-4.9647,0.250488,0.456039,-0.63622,-0.104875,0.311209,0.0148791,0.141219,0.24636,-0.0805343,-0.0349585,0.0908921,0.695237,0.451327,-0.0370521,0.099469,0.0431421,2.75161,1.02952,2.00552,2.85108,0.370793,0.231746,-0.0146142,0.840195,0.00300848,-0.581959,0.00584317,-3.46047,-2.79972,-0.237985
,,,,,,,,,,,,,,,,-0.372928,-0.6016,-0.563392,-0.0435834,0.28734,2.31312,0.862021,0.7839,0.737737,-0.104928,0.457699,-0.059616,0.24448,-0.747085,-4.9781,0.250488,0.459744,-0.642157,-0.11178,0.324484,0.0140527,0.079662,0.244346,-0.0737374,-0.03726,0.096876,0.694154,0.443953,-0.0382077,0.102942,0.04286,2.77128,1.01384,1.98864,2.87422,0.370215,0.231385,-0.0129615,0.847968,0.00204542,-0.759377,0.00276138,-4.13821,-3.11039,-0.333258
,,,,,,,,,,,,,,,,-0.395873,-0.600601,-0.562345,-0.0339952,0.289652,2.30928,0.868957,0.956358,0.726997,-0.105221,0.461947,-0.0632894,0.246826,-0.753096,-5.00155,0.201782,0.463444,-0.647875,-0.118668,0.323009,0.0137186,0.115872,0.242332,-0.0684522,-0.0395559,0.102845,0.693002,0.438053,-0.0382563,0.106173,0.0428258,2.79116,0.96681,1.98627,2.89734,0.369601,0.231001,-0.0113317,0.855238,0.00149674,-0.767684,0.00555417,-4.35607,-3.11908,-0.244082
,,,,,,,,,,,,,,,,-0.418758,-0.599543,-0.559203,-0.0211194,0.29196,2.3052,0.875881,0.972036,0.7129,-0.105677,0.466372,-0.0669532,0.249263,-0.759097,-5.0451,0.038269,0.467136,-0.65342,-0.125537,0.328909,0.0138559,0.191913,0.242332,-0.0661536,-0.0418458,0.108799,0.691781,0.435103,-0.0403396,0.109602,0.042697,2.81081,1.0661,1.97629,2.92041,0.36895,0.230594,-0.0117388,0.862025,0.000764744,-0.617772,0.00750042,-4.01421,-2.70568,-0.302432
