wrench_mx.txt,wrench_mz.txt,wrench_fy.txt,proportionalf_4.txt,integralf_1.txt,wrench_fz.txt,integralf_3.txt,integralf_2.txt,wrench_my.txt,proportionalf_1.txt,proportionalf_2.txt,integralf_4.txt,proportionalf_3.txt,wrench_fx.txt,proportionalf_5.txt,integralf_5.txt,accd4.txt,accd2.txt,trq1.txt,vela2.txt,posd2.txt,error_vel_2.txt,error_pos_3.txt,accd3.txt,trq3.txt,posd3.txt,veld2.txt,vela1.txt,posa3.txt,trq2.txt,trq5.txt,accd1.txt,posa4.txt,veld3.txt,error_pos_4.txt,vela4.txt,accd5.txt,posa1.txt,posa2.txt,posd1.txt,posd4.txt,error_vel_4.txt,vela3.txt,veld5.txt,posa5.txt,error_pos_5.txt,error_vel_1.txt,veld1.txt,error_pos_2.txt,vela5.txt,error_pos_1.txt,trq4.txt,error_vel_3.txt,veld4.txt,posd5.txt,error_vel_5.txt,estimated_trqs_3.txt,estimated_trqs_4.txt,estimated_trqs_1.txt,estimated_trqs_5.txt,estimated_trqs_2.txt
,,,,,,,,,,,,,,,,2.40975,1.33875,2.62345,0.0228235,0.0266119,0.22102,-0.00828289,-1.07098,-2.30815,-0.0213048,0.243844,0.400754,-0.0130219,2.4719,-0.410522,4.01625,0.010885,-0.195071,0.0370164,0.132743,0.148063,0.0341346,0.00469225,0.0798356,0.0479014,0.306175,0.0,0.0269686,0.000486726,0.00247862,0.330777,0.731531,0.0219196,-0.0,0.045701,0.336753,-0.195071,0.438919,0.00296534,0.0269686,-2.41392,-0.313114,1.03783,0.00686777,-0.139649
,,,,,,,,,,,,,,,,2.44006,1.35559,2.78023,0.0100692,0.0291175,0.247248,-0.0102717,-1.08445,-2.36175,-0.0233093,0.257317,0.42962,-0.0130376,2.73842,-0.400085,4.06677,0.0121239,-0.205849,0.0402877,0.125369,0.149926,0.0387362,0.00476274,0.0873526,0.0524116,0.337801,-0.0010472,0.0284587,0.00050885,0.00273361,0.342331,0.77195,0.0243548,0.00147493,0.0486164,0.307785,-0.204802,0.46317,0.00324246,0.0269838,-1.91398,0.136793,1.55851,0.00700101,0.91984
,,,,,,,,,,,,,,,,2.46758,1.37088,2.80114,0.00469896,0.0317587,0.266251,-0.0123689,-1.09668,-2.4455,-0.0254222,0.27095,0.469896,-0.0130533,2.84294,-0.389648,4.11264,0.0134071,-0.216756,0.0437587,0.125369,0.151616,0.0433681,0.00478287,0.0952762,0.0571657,0.362342,0.0,0.0299665,0.000530973,0.0030036,0.342955,0.812851,0.0269759,-0.0,0.0519082,0.286059,-0.216756,0.487711,0.00353457,0.0299665,-2.09193,0.119804,1.2918,0.00638373,0.843431
,,,,,,,,,,,,,,,,2.49235,1.38464,2.83249,-0.0,0.034537,0.284729,-0.0145286,-1.10769,-2.479,-0.0276448,0.284729,0.50346,-0.0131161,2.96314,-0.386169,4.15392,0.014646,-0.227779,0.0475206,0.128319,0.153138,0.0486041,0.00478287,0.103611,0.0621667,0.384194,-0.00418879,0.0314905,0.000530973,0.00331087,0.350727,0.854188,0.0297542,0.00147493,0.055007,0.329511,-0.22359,0.512513,0.00384185,0.0300155,-2.15291,0.00477744,1.29213,0.0055842,0.902963
,,,,,,,,,,,,,,,,2.5144,1.39689,2.83249,-0.0,0.0374538,0.298638,-0.016752,-1.11749,-2.57615,-0.0299781,0.298638,0.535682,-0.0132261,3.05721,-0.379211,4.19067,0.0158186,-0.238906,0.0515982,0.119469,0.154493,0.0539508,0.00479294,0.112361,0.0674168,0.41808,-0.00733038,0.0330287,0.000530973,0.00363346,0.360233,0.895914,0.0326608,-0.0,0.0584105,0.568497,-0.231575,0.537549,0.00416443,0.0330287,-2.16395,0.1582,1.47556,0.00686244,1.1698
,,,,,,,,,,,,,,,,2.53378,1.40766,2.91611,0.00067128,0.0405102,0.311991,-0.0190243,-1.1261,-2.60295,-0.0324232,0.312662,0.572602,-0.0133989,3.14605,-0.372253,4.22297,0.0171239,-0.250125,0.0557944,0.120944,0.155684,0.0600225,0.00479294,0.121531,0.0729183,0.441848,-0.015708,0.0345798,0.000553097,0.00394937,0.365384,0.937986,0.0357172,0.00147493,0.061508,0.698853,-0.234417,0.562792,0.00450246,0.0331048,-1.74218,0.658743,1.49028,0.00469374,1.85786
,,,,,,,,,,,,,,,,2.55053,1.41696,2.93179,0.00201384,0.0437073,0.324773,-0.0212364,-1.13355,-2.5527,-0.0349809,0.326786,0.610194,-0.0137445,3.22444,-0.358337,4.25088,0.0186504,-0.261424,0.0600228,0.143068,0.156713,0.0660137,0.00482315,0.131122,0.0786732,0.445148,-0.0251327,0.0361419,0.000553097,0.00430297,0.370165,0.980359,0.0388842,-0.0,0.0651083,0.767652,-0.236291,0.588216,0.00485606,0.0361419,-2.33933,0.342269,1.44175,0.00609039,1.43403
,,,,,,,,,,,,,,,,2.56468,1.42482,3.07289,0.00402768,0.0470462,0.336969,-0.0234205,-1.13984,-2.4656,-0.0376519,0.340997,0.646443,-0.0142314,3.2767,-0.3479,4.27447,0.020354,-0.272792,0.0643292,0.160767,0.157582,0.0727299,0.00488357,0.141139,0.0846831,0.453027,-0.0450295,0.0377135,0.000575221,0.00465011,0.376546,1.02299,0.0421626,0.00147493,0.0684087,0.807483,-0.227762,0.613794,0.00522533,0.0362386,-1.3556,0.945952,1.32559,0.0028236,2.32041
,,,,,,,,,,,,,,,,2.57629,1.43127,3.23489,0.00805537,0.0505275,0.347223,-0.0257029,-1.14499,-2.57615,-0.0404369,0.355278,0.679336,-0.0147341,3.29761,-0.3479,4.29381,0.022323,-0.284217,0.0686265,0.187316,0.158295,0.0798992,0.00498426,0.151583,0.0909495,0.452185,-0.0502655,0.039293,0.000575221,0.00503514,0.386499,1.06583,0.0455433,-0.0,0.0716834,0.7242,-0.233951,0.639501,0.00561036,0.039293,-1.54149,0.760582,1.82446,0.00693346,2.14879
,,,,,,,,,,,,,,,,2.58538,1.43632,3.20876,0.0107405,0.0541519,0.358877,-0.0280054,-1.14903,-2.5996,-0.0433364,0.369617,0.724983,-0.015331,3.376,-0.340942,4.30896,0.0243363,-0.295688,0.0731372,0.20944,0.158854,0.0869073,0.00507488,0.162456,0.0974735,0.455872,-0.0565487,0.0408789,0.000597345,0.00541387,0.383869,1.10885,0.0490771,0.00147493,0.0755485,0.604707,-0.239139,0.665311,0.00601121,0.039404,-1.75996,0.558476,1.16981,0.00377244,1.41283
