proportionalf_5.txt,wrench_fy.txt,proportionalf_3.txt,integralf_4.txt,integralf_5.txt,integralf_1.txt,proportionalf_4.txt,integralf_3.txt,wrench_my.txt,wrench_mz.txt,integralf_2.txt,proportionalf_1.txt,wrench_fz.txt,wrench_fx.txt,wrench_mx.txt,proportionalf_2.txt,posa4.txt,posa5.txt,trq1.txt,error_vel_1.txt,trq4.txt,veld5.txt,error_vel_5.txt,error_pos_4.txt,trq3.txt,error_vel_4.txt,vela1.txt,vela2.txt,accd5.txt,error_pos_2.txt,veld4.txt,accd3.txt,posa3.txt,posd3.txt,error_pos_5.txt,accd1.txt,trq2.txt,posd1.txt,posd4.txt,posa1.txt,error_vel_2.txt,veld3.txt,trq5.txt,accd2.txt,posd5.txt,accd4.txt,veld2.txt,vela3.txt,vela4.txt,veld1.txt,posa2.txt,posd2.txt,error_vel_3.txt,error_pos_1.txt,vela5.txt,error_pos_3.txt,estimated_trqs_4.txt,estimated_trqs_5.txt,estimated_trqs_3.txt,estimated_trqs_1.txt,estimated_trqs_2.txt
,,,,,,,,,,,,,,,,0.288805,0.00369469,1.86046,0.0436713,0.637296,0.492254,0.492254,0.0737634,-3.4371,-0.0230369,1.07606,0.00402768,0.150258,0.067632,0.447465,-0.0901444,-0.184239,-0.260109,0.395021,0.343652,3.49619,0.903675,0.362569,0.792386,0.085551,-0.310742,0.083496,0.0274922,0.398716,0.136512,0.0895787,-0.351858,0.470501,1.11973,0.00466204,0.072294,0.0411163,0.111289,-0.0,-0.0758704,0.0474712,7.53963e-05,-2.21263,0.115557,0.717256
,,,,,,,,,,,,,,,,0.293606,0.00369469,1.98065,0.0436967,0.582981,0.493732,0.493732,0.0734439,-3.42705,-0.0216936,1.07942,0.00402768,0.14545,0.0684687,0.448808,-0.0871558,-0.18771,-0.263221,0.399951,0.332699,3.538,0.91489,0.36705,0.802939,0.0858216,-0.311629,0.097412,0.0266159,0.403646,0.132142,0.0898493,-0.359189,0.470501,1.12312,0.00472246,0.0731912,0.0475602,0.111951,-0.0,-0.0755108,0.661946,-0.00158192,-1.12044,0.208967,1.77969
,,,,,,,,,,,,,,,,0.298938,0.00371681,1.92839,0.0422697,0.673506,0.495163,0.495163,0.0726067,-3.3902,-0.0277687,1.08412,0.00604152,0.140621,0.0692779,0.450107,-0.0841534,-0.191857,-0.266342,0.404873,0.321694,3.52755,0.926137,0.371545,0.815032,0.0840695,-0.312485,0.100891,0.0257355,0.40859,0.127753,0.090111,-0.351858,0.477876,1.12639,0.00481308,0.074091,0.0393732,0.111105,-0.0,-0.0744845,-0.00963,0.000616347,-2.44464,0.124346,0.713655
,,,,,,,,,,,,,,,,0.303407,0.00371681,1.84478,0.042075,0.514182,0.496545,0.49507,0.072645,-3.3567,-0.0279881,1.08747,0.00805537,0.135769,0.0700897,0.451363,-0.0811378,-0.195171,-0.269471,0.409832,0.31064,3.49619,0.937417,0.376052,0.825725,0.0823086,-0.313312,0.107849,0.0248512,0.413549,0.123344,0.090364,-0.365472,0.479351,1.12955,0.0049037,0.0749934,0.0521603,0.111692,0.00147493,-0.0742991,0.31265,-0.00136269,-1.51175,0.140324,1.27003
,,,,,,,,,,,,,,,,0.308363,0.00371681,1.89181,0.0424408,0.68799,0.497878,0.497878,0.072209,-3.31315,-0.0208771,1.09016,0.0100692,0.130897,0.0708737,0.452574,-0.0781095,-0.198847,-0.272608,0.414804,0.299538,3.44916,0.948728,0.380572,0.836157,0.0805388,-0.314108,0.073059,0.0239631,0.418521,0.118915,0.090608,-0.359189,0.473451,1.1326,0.00502453,0.0758982,0.0450809,0.112571,-0.0,-0.0737606,0.683194,-0.00175692,-1.40321,0.154186,1.7551
,,,,,,,,,,,,,,,,0.313252,0.00371681,2.00156,0.0413528,0.503319,0.499163,0.499163,0.0718512,-3.3835,-0.0388842,1.09419,0.012083,0.126005,0.0716702,0.453741,-0.0750688,-0.202287,-0.275753,0.419789,0.288391,3.48052,0.960069,0.385103,0.847143,0.0787602,-0.314874,0.090454,0.0230713,0.423506,0.114469,0.0908432,-0.36233,0.492625,1.13554,0.0051353,0.0768055,0.0474566,0.112926,-0.0,-0.0734655,0.315255,-0.000717149,-1.39849,0.12896,1.09735
,,,,,,,,,,,,,,,,0.317987,0.00371681,1.92317,0.0408244,0.640917,0.500398,0.500398,0.0716598,-3.31985,-0.0333371,1.09754,0.0100692,0.121093,0.0725194,0.454863,-0.0720164,-0.205837,-0.278905,0.424787,0.2772,3.56413,0.971438,0.389646,0.857886,0.0810002,-0.315609,0.100891,0.022176,0.428504,0.110005,0.0910694,-0.351858,0.488201,1.13837,0.00519571,0.0777151,0.0362492,0.113552,-0.0,-0.0730679,0.131278,0.000255487,-1.94201,0.131192,0.68391
,,,,,,,,,,,,,,,,0.323208,0.00371681,1.98588,0.0388413,0.561255,0.501585,0.501585,0.0709926,-3.4103,-0.0352092,1.10224,0.00604152,0.116163,0.073411,0.455941,-0.0689527,-0.20956,-0.282065,0.429797,0.265967,3.71046,0.982836,0.394201,0.869677,0.0852452,-0.316314,0.100891,0.0212773,0.433514,0.105525,0.0912867,-0.352906,0.49115,1.14108,0.00521585,0.0786269,0.0365915,0.113158,-0.0,-0.0725048,0.116908,-0.000930662,-2.03256,-0.0825276,0.588223
,,,,,,,,,,,,,,,,0.328164,0.00371681,1.98065,0.0421159,0.633675,0.502721,0.502721,0.0706015,-3.31315,-0.0386013,1.10157,0.00201384,0.111216,0.0743149,0.456974,-0.0658782,-0.213063,-0.285231,0.434819,0.254693,3.81498,0.99426,0.398765,0.880572,0.0894811,-0.316988,0.10437,0.0203754,0.438536,0.101028,0.091495,-0.356047,0.495575,1.14369,0.00522592,0.0795408,0.0390589,0.113687,-0.0,-0.0721684,0.122259,6.47538e-05,-1.96394,0.134851,0.806606
,,,,,,,,,,,,,,,,0.333009,0.00371681,1.97543,0.0405786,0.601086,0.503809,0.503809,0.0703311,-3.42705,-0.0376135,1.1056,0.00067128,0.106251,0.0752308,0.457962,-0.0627932,-0.216471,-0.288404,0.439851,0.243381,3.85679,1.00571,0.40334,0.891447,0.0910229,-0.317632,0.10437,0.0194704,0.443568,0.0965159,0.0916942,-0.358142,0.495575,1.14618,0.00522592,0.0804567,0.04051,0.114262,-0.0,-0.0719329,0.277582,-0.000290333,-1.63488,0.178449,1.10412
