integralf_4.txt,wrench_my.txt,proportionalf_2.txt,wrench_mz.txt,proportionalf_1.txt,integralf_1.txt,wrench_fy.txt,wrench_fx.txt,wrench_mx.txt,proportionalf_5.txt,wrench_fz.txt,proportionalf_3.txt,integralf_5.txt,integralf_2.txt,proportionalf_4.txt,integralf_3.txt,trq5.txt,posa1.txt,accd4.txt,veld2.txt,trq3.txt,trq4.txt,error_pos_5.txt,veld5.txt,error_vel_1.txt,accd5.txt,vela2.txt,posa4.txt,error_pos_4.txt,posa2.txt,trq2.txt,error_vel_3.txt,error_vel_5.txt,vela3.txt,error_pos_3.txt,posa3.txt,vela4.txt,veld3.txt,error_pos_2.txt,posd3.txt,veld1.txt,error_pos_1.txt,accd2.txt,posd1.txt,accd3.txt,vela1.txt,trq1.txt,vela5.txt,error_vel_4.txt,veld4.txt,posd2.txt,error_vel_2.txt,posd5.txt,posd4.txt,accd1.txt,posa5.txt,estimated_trqs_3.txt,estimated_trqs_4.txt,estimated_trqs_2.txt,estimated_trqs_5.txt,estimated_trqs_1.txt
,,,,,,,,,,,,,,,,-0.59143,-0.0,0.176091,0.054145,-1.7487,0.032589,-0.000137429,0.00399222,0.0180483,0.0244568,0.0281938,0.00371681,-0.000237034,0.00190308,0.559182,-0.0478794,-0.000432562,0.0,0.00709327,-0.012315,0.00442478,-0.0478794,0.00373449,-0.00522178,0.0180483,0.00187919,0.331699,0.00187919,-0.286894,-0.0,-0.0,0.00442478,0.0257958,0.0302205,0.00563757,0.0259512,0.000437793,0.00347978,0.110566,0.000575221,-2.16399,-0.0372688,-0.0136157,-0.00130554,-0.109302
,,,,,,,,,,,,,,,,-0.580993,-0.0,0.1804,0.0575028,-1.7621,0.032589,-0.000118397,0.00423979,0.0191676,0.0250555,0.016782,0.00376106,2.98008e-05,0.00206419,0.721188,-0.0507835,0.00276486,0.0,0.00660001,-0.012315,0.00442478,-0.0507835,0.00413155,-0.00571503,0.0191676,0.00206525,0.339819,0.00206525,-0.293916,-0.0,-0.0,0.00147493,0.0275783,0.0320031,0.00619574,0.0407207,0.000478948,0.00379086,0.113273,0.000597345,-1.82977,0.302582,0.939328,-0.00202459,0.0201954
,,,,,,,,,,,,,,,,-0.55664,1.00692e-05,0.184615,0.0609408,-1.78555,0.03621,-9.68608e-05,0.00449328,0.0196423,0.025641,0.0161107,0.00380531,0.000314674,0.00222529,0.825708,-0.0537572,0.00449328,0.0,0.00607736,-0.012315,0.00442478,-0.0537572,0.0045626,-0.00623768,0.0203136,0.00225256,0.34776,0.00226263,-0.300784,0.00067128,0.005226,-0.0,0.0294035,0.0338282,0.00678789,0.0448301,0.000522608,0.00411998,0.11592,0.000619469,-1.49659,0.643965,1.87292,-0.0027773,0.0693501
,,,,,,,,,,,,,,,,-0.532287,1.00692e-05,0.188736,0.0644574,-1.79225,0.039831,-5.06364e-05,0.00475257,0.0214858,0.0262135,0.0261799,0.00384956,0.000618009,0.00250723,0.752544,-0.0567987,0.00327764,0.0,0.00552464,-0.012315,0.00442478,-0.0567987,0.00490758,-0.0067904,0.0214858,0.00246154,0.355524,0.00247161,-0.307498,-0.0,0.010452,0.00147493,0.0312703,0.0356951,0.00741482,0.0382774,0.000568833,0.00446757,0.118508,0.000619469,-1.7279,0.40103,1.31115,-0.00218087,0.0471933
,,,,,,,,,,,,,,,,-0.514892,1.00692e-05,0.192763,0.0680507,-1.8023,0.047073,-2.39146e-05,0.00501751,0.0226836,0.0267729,0.0308789,0.00387168,0.00096234,0.00280931,0.715962,-0.0599066,0.00354258,0.0,0.00494117,-0.012315,0.00147493,-0.0599066,0.00526799,-0.00737387,0.0226836,0.00268236,0.363112,0.00269243,-0.31406,-0.0,0.010452,0.00147493,0.0361277,0.0376026,0.00807729,0.0371718,0.000617678,0.00483402,0.121037,0.000641593,-1.80057,0.330267,1.06072,-0.00189633,0.0140114
,,,,,,,,,,,,,,,,-0.507934,1.00692e-05,0.196697,0.071719,-1.83915,0.050694,5.48443e-06,0.00528798,0.0239063,0.0273195,0.0322215,0.00387168,0.00134807,0.00314159,0.794352,-0.0630794,0.00381306,0.0,0.00432629,-0.012315,-0.0,-0.0630794,0.00563449,-0.00798875,0.0239063,0.00291529,0.370525,0.00292536,-0.320471,-0.0,0.010452,0.00147493,0.03955,0.03955,0.00877608,0.0394976,0.000669201,0.00521975,0.123508,0.000663717,-1.52747,0.61428,1.75153,-0.00275497,0.102532
,,,,,,,,,,,,,,,,-0.497497,2.01384e-05,0.200539,0.0754606,-1.8693,0.050694,3.76153e-05,0.00556386,0.0244823,0.0278532,0.0402768,0.0038938,0.00173135,0.00353429,0.75777,-0.0663155,0.00408893,0.0,0.00367937,-0.012315,0.00147493,-0.0663155,0.00597763,-0.00863567,0.0251535,0.0031505,0.377764,0.00317064,-0.326731,0.00067128,0.041808,0.00147493,0.0400613,0.0415363,0.00951192,0.0351838,0.000723456,0.00562515,0.125921,0.000685841,-2.12472,0.00421144,0.0917596,-0.000810969,-0.122954
,,,,,,,,,,,,,,,,-0.494018,2.01384e-05,0.204289,0.0792737,-1.876,0.054315,7.25313e-05,0.005845,0.0264246,0.0283742,0.0302076,0.00391593,0.00213467,0.0038263,1.1654,-0.0696135,0.00437008,0.0,0.00299978,-0.012315,0.00147493,-0.0696135,0.00645923,-0.00931527,0.0264246,0.00340837,0.38483,0.00342851,-0.332842,-0.0,0.073164,0.00147493,0.0420856,0.0435605,0.0102855,0.0490661,0.000780496,0.0060506,0.128277,0.000707965,-1.99784,0.139201,0.368247,-0.00112064,-0.079278
,,,,,,,,,,,,,,,,-0.473144,2.01384e-05,0.207947,0.0831566,-1.9028,0.057936,0.000110285,0.0061313,0.0277189,0.0288825,0.0221523,0.00396018,0.00253631,0.00404782,1.25947,-0.0729719,0.00465637,0.0,0.0022869,-0.012315,0.00442478,-0.0729719,0.0070498,-0.0100281,0.0277189,0.00367907,0.391724,0.00369921,-0.338804,-0.0,0.099294,0.00147493,0.041197,0.0456217,0.0110976,0.0610044,0.000840373,0.00649648,0.130575,0.000730088,-2.00102,0.122383,0.541912,-0.00101133,-0.00914653
,,,,,,,,,,,,,,,,-0.466186,3.02076e-05,0.211515,0.0871076,-1.90615,0.065178,0.000128802,0.00642261,0.0283646,0.0293782,0.0181246,0.0039823,0.00298086,0.004219,1.43192,-0.0763891,0.00494769,0.0,0.00154014,-0.012315,0.00147493,-0.0763891,0.00772989,-0.0107749,0.0290359,0.00395276,0.398447,0.00398296,-0.344618,0.00067128,0.135876,0.00147493,0.0462442,0.0477191,0.0119489,0.0689831,0.000903139,0.00696316,0.132816,0.000774336,-2.13368,0.00499905,-0.0666124,-0.000742542,-0.158696
,,,,,,,,,,,,,,,,-0.462707,4.02768e-05,0.214992,0.091125,-1.9229,0.07242,0.000172382,0.00671882,0.030375,0.0298614,0.00469896,0.00404867,0.00340231,0.00425927,1.65142,-0.0798637,0.00524389,0.0,0.000758925,-0.012315,0.0058997,-0.0798637,0.00858073,-0.0115561,0.030375,0.00423972,0.405,0.00428,-0.350285,-0.0,0.162006,0.00147493,0.043952,0.0498517,0.01284,0.086426,0.000968842,0.00745098,0.135,0.00079646,-1.95797,0.172761,0.5754,-0.00114965,-0.0179752
