wrench_mz.txt,wrench_my.txt,wrench_fz.txt,wrench_fx.txt,integralf_3.txt,integralf_1.txt,proportionalf_5.txt,integralf_5.txt,wrench_mx.txt,proportionalf_3.txt,proportionalf_1.txt,proportionalf_2.txt,integralf_2.txt,proportionalf_4.txt,wrench_fy.txt,integralf_4.txt,posd4.txt,accd1.txt,error_vel_5.txt,veld5.txt,trq5.txt,posd2.txt,error_vel_3.txt,posa1.txt,error_vel_4.txt,veld4.txt,trq4.txt,veld3.txt,posa2.txt,error_pos_3.txt,posd1.txt,accd2.txt,error_pos_4.txt,veld2.txt,error_vel_2.txt,posa4.txt,error_vel_1.txt,trq2.txt,posd3.txt,error_pos_2.txt,veld1.txt,vela4.txt,vela2.txt,error_pos_5.txt,posa3.txt,posa5.txt,error_pos_1.txt,trq1.txt,vela5.txt,vela3.txt,vela1.txt,accd3.txt,accd4.txt,posd5.txt,accd5.txt,trq3.txt,estimated_trqs_5.txt,estimated_trqs_4.txt,estimated_trqs_1.txt,estimated_trqs_3.txt,estimated_trqs_2.txt
,,,,,,,,,,,,,,,,0.405141,-0.44064,0.0385847,0.0385847,0.010437,0.404737,0.0134959,1.13981,-0.0134029,0.176863,0.698853,-0.355118,0.373598,-0.0594686,1.21421,-0.14688,0.0594992,0.177562,-0.0238225,0.345642,-0.0157514,2.75933,-0.809477,0.0311391,0.532685,0.190265,0.201384,0.0861204,-0.750008,0.00382743,0.0743965,1.51031,-0.0,-0.368614,0.548436,0.293755,-0.146488,0.0899478,-0.0321041,-2.881,-0.00214499,0.223252,-0.34274,-2.17042,-0.899236
,,,,,,,,,,,,,,,,0.406902,-0.444899,0.0382622,0.0382622,-0.017395,0.406505,0.0290141,1.14526,-0.0325739,0.175391,0.756789,-0.352166,0.375581,-0.0592194,1.21952,-0.1483,0.0591808,0.176086,-0.0192569,0.347721,-0.0161514,2.55029,-0.813013,0.0309237,0.528257,0.207965,0.195343,0.0865046,-0.753794,0.00382743,0.0742538,1.52599,-0.0,-0.38118,0.544408,0.296595,-0.147898,0.0903321,-0.0324078,-2.97145,-0.00388971,0.492836,-0.258109,-1.152,0.447384
,,,,,,,,,,,,,,,,0.408648,-0.449082,0.0379366,0.0379366,0.024353,0.408259,0.0246636,1.15064,-0.03111,0.173905,0.865419,-0.349186,0.377474,-0.0590034,1.22478,-0.149694,0.0588255,0.174596,-0.0214182,0.349823,-0.0139086,2.71229,-0.81652,0.0307841,0.523787,0.205015,0.196014,0.0868856,-0.757517,0.00382743,0.0741371,1.48941,-0.0,-0.37385,0.537696,0.299383,-0.149282,0.0907131,-0.0327059,-2.881,-0.00227143,0.242281,-0.18821,-1.71159,-0.288882
,,,,,,,,,,,,,,,,0.41038,-0.453186,0.0376081,0.0376081,-0.024353,0.409997,0.0287184,1.15602,-0.0326096,0.172405,0.926976,-0.346178,0.379428,-0.0587732,1.22999,-0.151062,0.0584553,0.173092,-0.0209082,0.351925,-0.0150636,2.65481,-0.819997,0.0305691,0.519276,0.205015,0.194,0.0872634,-0.761224,0.00382743,0.0739755,1.51554,-0.0,-0.374897,0.534339,0.302119,-0.150639,0.0910908,-0.0329984,-2.9145,-0.00307676,0.583382,-0.0973394,-1.02852,0.501062
,,,,,,,,,,,,,,,,0.412097,-0.457211,0.0372767,0.0372767,0.041748,0.41172,0.0223283,1.16132,-0.0370725,0.170892,0.872661,-0.343144,0.381351,-0.0585285,1.23516,-0.152404,0.0582028,0.171575,-0.0204117,0.353894,-0.0176018,2.48235,-0.823443,0.0303692,0.514724,0.207965,0.191986,0.0876378,-0.764915,0.00382743,0.073839,1.53122,-0.0,-0.365472,0.532325,0.304803,-0.151971,0.0914652,-0.0332852,-2.8274,-0.00198921,-0.159122,-0.200466,-1.90422,-0.465622
,,,,,,,,,,,,,,,,0.413798,-0.461156,0.0369424,0.0369424,-0.013916,0.413428,0.0222479,1.16657,-0.00910027,0.169366,0.738684,-0.340082,0.383294,-0.0582375,1.24029,-0.153719,0.0580899,0.170044,-0.0252987,0.355708,-0.0154809,2.71229,-0.82686,0.030134,0.510132,0.178466,0.195343,0.0880089,-0.768622,0.00382743,0.0737173,1.52599,-0.0,-0.36233,0.525613,0.307433,-0.153276,0.0918363,-0.0335662,-2.89775,-0.00241849,0.433796,-0.219339,-1.69778,-0.345843
,,,,,,,,,,,,,,,,0.415484,-0.46502,0.0366054,0.0366054,0.027832,0.415121,0.0305711,1.17156,-0.0283386,0.167827,0.695232,-0.336995,0.385218,-0.0581515,1.24536,-0.155007,0.0578954,0.1685,-0.0214721,0.357588,-0.018098,2.49803,-0.830245,0.0299035,0.505501,0.196165,0.189972,0.0883766,-0.772094,0.00382743,0.0738012,1.52599,-0.0,-0.367566,0.523599,0.310009,-0.154554,0.0922041,-0.0338413,-2.86425,-0.0039784,0.372888,-0.435911,-1.40287,-0.0845914
,,,,,,,,,,,,,,,,0.417154,-0.468802,0.0362656,0.0362656,0.045227,0.416798,0.0284479,1.17676,-0.0284155,0.166275,0.771273,-0.333882,0.38703,-0.0578616,1.2504,-0.156267,0.0575747,0.166944,-0.0210147,0.35958,-0.0133693,2.57119,-0.833599,0.0297683,0.500832,0.19469,0.187959,0.088741,-0.775738,0.00382743,0.0736371,1.50509,-0.0,-0.36233,0.514201,0.31253,-0.155805,0.0925684,-0.0341105,-2.85085,-0.00391722,0.745964,-0.0383355,-0.825146,1.10762
,,,,,,,,,,,,,,,,0.418809,-0.4725,0.0359232,0.0359232,0.010437,0.41846,0.0253024,1.18209,-0.0344044,0.164711,0.872661,-0.330745,0.389014,-0.0574149,1.25538,-0.1575,0.0570836,0.165375,-0.0259399,0.361726,-0.0153907,2.59732,-0.836923,0.0294462,0.496125,0.199115,0.191315,0.0891019,-0.779508,0.00382743,0.0732853,1.5678,-0.0,-0.356047,0.511516,0.314995,-0.157028,0.0929294,-0.0343737,-2.8676,-0.00237805,-0.0933465,-0.61604,-2.19011,-1.5578
,,,,,,,,,,,,,,,,0.420449,-0.476114,0.0355781,0.0355781,-0.013916,0.420106,0.0274172,1.18723,-0.0315559,0.163134,0.912492,-0.327583,0.390877,-0.0573293,1.26032,-0.158705,0.0568866,0.163794,-0.0181231,0.363562,-0.0100647,2.4719,-0.840214,0.0292293,0.491382,0.19469,0.181917,0.0894594,-0.782885,0.00382743,0.0730875,1.53644,-0.0,-0.355,0.501447,0.317404,-0.158224,0.0932869,-0.0346309,-2.85755,-0.00253176,0.352288,-0.0134832,-1.20432,0.424687
