wrench_my.txt,wrench_mx.txt,wrench_fy.txt,proportionalf_2.txt,proportionalf_4.txt,integralf_1.txt,integralf_4.txt,proportionalf_3.txt,proportionalf_1.txt,integralf_3.txt,integralf_2.txt,integralf_5.txt,wrench_fz.txt,wrench_mz.txt,proportionalf_5.txt,wrench_fx.txt,error_vel_2.txt,trq1.txt,vela3.txt,trq3.txt,accd4.txt,error_vel_3.txt,vela4.txt,posd5.txt,error_pos_5.txt,vela5.txt,error_vel_1.txt,posa2.txt,posa3.txt,error_vel_5.txt,trq5.txt,veld4.txt,accd5.txt,posa5.txt,veld5.txt,trq2.txt,posd2.txt,trq4.txt,posd4.txt,posd1.txt,posa1.txt,vela1.txt,error_pos_1.txt,vela2.txt,posa4.txt,veld2.txt,error_pos_4.txt,veld3.txt,error_pos_2.txt,posd3.txt,accd3.txt,error_vel_4.txt,veld1.txt,accd1.txt,accd2.txt,error_pos_3.txt,estimated_trqs_5.txt,estimated_trqs_1.txt,estimated_trqs_3.txt,estimated_trqs_4.txt,estimated_trqs_2.txt
,,,,,,,,,,,,,,,,0.02528,-0.0,0.0,-1.9095,0.442266,-0.0924075,0.0811209,0.0192429,0.018712,0.00147493,0.0180483,0.00129893,-0.0124721,0.180352,-0.560119,0.0721934,1.10485,0.000530973,0.181827,0.747318,0.00563757,0.213639,0.00751676,0.00187919,1.00692e-05,-0.0,0.00186912,0.0288651,0.0044469,0.054145,0.00306986,-0.0924075,0.00433864,-0.00962145,-0.5661,-0.00892758,0.0180483,0.110566,0.331699,0.00285067,-0.00171815,0.0272673,-1.97085,0.136818,0.844845
,,,,,,,,,,,,,,,,0.0266239,-0.0,0.0,-1.94635,0.453092,-0.098138,0.0707965,0.0211169,0.0205638,-0.0,0.0191676,0.00162114,-0.0124721,0.193012,-0.546203,0.0766703,1.1319,0.000553097,0.193012,0.689832,0.00619574,0.238986,0.00826099,0.00206525,1.00692e-05,-0.0,0.00205518,0.0308789,0.00506637,0.0575028,0.00319461,-0.098138,0.0045746,-0.0105741,-0.579957,0.00587389,0.0191676,0.113273,0.339819,0.00189806,-0.00106812,0.0191099,-1.92856,0.186469,0.877142
,,,,,,,,,,,,,,,,0.0287193,-0.0,0.0,-1.9564,0.46368,-0.104006,0.0634218,0.0231041,0.022551,0.00147493,0.0203136,0.00191315,-0.0124721,0.202988,-0.539245,0.0812544,1.15835,0.000553097,0.204463,0.621894,0.00678789,0.260712,0.00905052,0.00226263,1.00692e-05,-0.0,0.00225256,0.0322215,0.00575221,0.0609408,0.00329831,-0.104006,0.00487474,-0.0115847,-0.59351,0.0178326,0.0203136,0.11592,0.34776,0.000887455,-0.00091554,-0.121603,-2.07764,0.0965843,0.126494
,,,,,,,,,,,,,,,,0.044319,-0.0,-0.0010472,-1.9966,0.474032,-0.10896,0.0707965,0.025207,0.0246318,0.00147493,0.0214858,0.00208433,-0.0124878,0.214702,-0.511413,0.0859432,1.18421,0.000575221,0.216177,0.825708,0.00741482,0.260712,0.00988642,0.00247161,1.00692e-05,-0.0,0.00246154,0.0201384,0.0064823,0.0644574,0.00340412,-0.110007,0.00533049,-0.0126546,-0.606761,0.0151467,0.0214858,0.118508,0.355524,-0.000166791,-0.00143221,-0.0378556,-1.885,0.217346,0.667243
,,,,,,,,,,,,,,,,0.05194,0.005226,0.0,-2.0167,0.484149,-0.11614,0.0707965,0.0274284,0.0268311,0.00147493,0.0226836,0.00224543,-0.0124878,0.226671,-0.507934,0.0907343,1.20948,0.000597345,0.228146,0.919776,0.00807729,0.25347,0.0107697,0.00269243,1.00692e-05,-0.0,0.00268236,0.0161107,0.00716814,0.0680507,0.00360158,-0.11614,0.00583186,-0.0137852,-0.619711,0.0199378,0.0226836,0.121037,0.363112,-0.00129742,-0.00256152,0.115722,-1.70043,0.418287,1.53136
,,,,,,,,,,,,,,,,0.0468816,0.005226,0.0,-2.0569,0.494033,-0.1224,0.0634218,0.0297708,0.0291513,-0.0,0.0232351,0.00255758,-0.0124878,0.240364,-0.497497,0.0956254,1.23417,0.000619469,0.240364,0.789126,0.00877608,0.224502,0.0117014,0.00292536,2.01384e-05,0.00067128,0.00290522,0.0248374,0.00778761,0.071719,0.00391383,-0.1224,0.0062185,-0.0149778,-0.632363,0.0322035,0.0239063,0.123508,0.370525,-0.00249001,-0.00173407,0.117049,-1.81316,0.27991,1.55679
,,,,,,,,,,,,,,,,0.0371976,0.041808,0.0,-2.1038,0.503685,-0.128786,0.0442478,0.0322365,0.0316171,0.00147493,0.0251535,0.00294021,-0.0124878,0.251352,-0.473144,0.100614,1.25828,0.000619469,0.252827,0.773448,0.00951192,0.220881,0.0126826,0.00317064,2.01384e-05,-0.0,0.0031505,0.038263,0.00811947,0.0754606,0.00456309,-0.128786,0.00657171,-0.0162337,-0.644717,0.0563664,0.0251535,0.125921,0.377764,-0.00374584,-0.000180031,0.0472782,-2.3094,-0.241646,0.37997
,,,,,,,,,,,,,,,,0.0383256,0.057486,0.0,-2.14065,0.513106,-0.135294,0.0176991,0.0348281,0.0341865,0.00147493,0.0264246,0.00337318,-0.0125035,0.264053,-0.462707,0.105698,1.28182,0.000641593,0.265528,0.778674,0.0102855,0.220881,0.013714,0.00342851,2.01384e-05,-0.0,0.00340837,0.0409481,0.00825221,0.0792737,0.00546183,-0.135294,0.00691235,-0.017554,-0.656776,0.0879992,0.0264246,0.128277,0.38483,-0.00505044,-0.000605036,-0.00602337,-2.15212,-0.0111038,0.368065
,,,,,,,,,,,,,,,,0.0462362,0.083616,-0.0010472,-2.1708,0.522298,-0.140873,0.0103245,0.0375479,0.0368842,0.00147493,0.0270476,0.0036954,-0.0125035,0.276987,-0.455749,0.110876,1.30478,0.000663717,0.278462,1.06088,0.0110976,0.220881,0.0147968,0.00369921,3.02076e-05,0.00067128,0.003669,0.0369204,0.00838496,0.0831566,0.00641188,-0.141921,0.00740223,-0.0189399,-0.668542,0.100551,0.0277189,0.130575,0.391724,-0.00643641,-0.00125874,-0.151993,-2.06421,0.0461996,0.0238092
,,,,,,,,,,,,,,,,0.0629415,0.120198,0.0,-2.2043,0.531262,-0.148664,0.0147493,0.0403981,0.0397123,-0.0,0.0290359,0.00390685,-0.0125035,0.291622,-0.445312,0.116144,1.32717,0.000685841,0.291622,1.36399,0.0119489,0.220881,0.0159319,0.00398296,3.02076e-05,-0.0,0.00395276,0.0241661,0.00853982,0.0871076,0.00739203,-0.148664,0.00804204,-0.0203928,-0.680016,0.101394,0.0290359,0.132816,0.398447,-0.00788924,-0.00131365,-0.0313027,-1.78895,0.363885,0.794647
,,,,,,,,,,,,,,,,0.0723291,0.162006,0.0,-2.2512,0.54,-0.15552,0.0235988,0.043381,0.0426952,0.00147493,0.0297037,0.00409817,-0.0125035,0.303528,-0.434875,0.1215,1.349,0.000685841,0.305003,1.46328,0.01284,0.228123,0.01712,0.00428,4.02768e-05,0.00067128,0.00423972,0.0187959,0.00882743,0.091125,0.00829257,-0.15552,0.00874183,-0.0219136,-0.6912,0.0979012,0.030375,0.135,0.405,-0.00941006,-0.00215966,-0.0485796,-1.73506,0.455794,0.966862
,,,,,,,,,,,,,,,,0.0804389,0.193362,-0.0010472,-2.28805,0.548513,-0.16144,0.0353982,0.0464989,0.0457909,0.00147493,0.0310644,0.00422907,-0.0125192,0.317125,-0.427917,0.126943,1.37026,0.000707965,0.3186,1.62529,0.0137716,0.21726,0.0183621,0.00459054,5.0346e-05,0.00067128,0.00454019,0.0147682,0.00922566,0.0952071,0.00913648,-0.162487,0.00954254,-0.0235035,-0.702096,0.0915445,0.0317357,0.137128,0.411385,-0.0109843,-0.00142336,-0.0995818,-1.98149,0.129766,0.264452
